pass_no,rel,exit_code,seconds,log_file
2,gold\build_pred_poscosecha_ml2_seed_mix_grado_dia.py,1,0.68,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass02__gold__build_pred_poscosecha_ml2_seed_mix_grado_dia.py.log
2,gold\build_pred_poscosecha_ml2_views_from_full.py,1,0.71,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass02__gold__build_pred_poscosecha_ml2_views_from_full.py.log
2,gold\build_pred_tallos_ml2_full.py,1,0.70,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass02__gold__build_pred_tallos_ml2_full.py.log
2,gold\apply_desp_ajuste_poscosecha_ml1_on_ml2_hidr.py,1,1.98,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass02__gold__apply_desp_ajuste_poscosecha_ml1_on_ml2_hidr.py.log
2,gold\apply_dh_poscosecha_ml1_on_ml2_seed.py,1,1.91,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass02__gold__apply_dh_poscosecha_ml1_on_ml2_seed.py.log
2,gold\apply_hidr_poscosecha_ml1_on_ml2_dh.py,1,1.89,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass02__gold__apply_hidr_poscosecha_ml1_on_ml2_dh.py.log
2,models\ml2\train_ajuste_poscosecha_ml2.py,1,2.01,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass02__models__ml2__train_ajuste_poscosecha_ml2.py.log
2,models\ml2\train_desp_poscosecha_ml2.py,1,1.90,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass02__models__ml2__train_desp_poscosecha_ml2.py.log
2,models\ml2\train_dh_poscosecha_ml2.py,1,1.88,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass02__models__ml2__train_dh_poscosecha_ml2.py.log
2,models\ml2\train_hidr_poscosecha_ml2.py,1,1.90,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass02__models__ml2__train_hidr_poscosecha_ml2.py.log
2,models\ml2\apply_ajuste_poscosecha_ml2.py,1,0.72,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass02__models__ml2__apply_ajuste_poscosecha_ml2.py.log
2,models\ml2\apply_desp_poscosecha_ml2.py,1,0.76,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass02__models__ml2__apply_desp_poscosecha_ml2.py.log
2,models\ml2\apply_dh_poscosecha_ml2.py,1,0.77,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass02__models__ml2__apply_dh_poscosecha_ml2.py.log
2,models\ml2\apply_hidr_poscosecha_ml2.py,1,0.76,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass02__models__ml2__apply_hidr_poscosecha_ml2.py.log
2,models\ml2\apply_share_grado_ml2.py,0,8.38,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass02__models__ml2__apply_share_grado_ml2.py.log
2,eval\build_kpis_ajuste_poscosecha_ml2.py,1,0.76,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass02__eval__build_kpis_ajuste_poscosecha_ml2.py.log
2,eval\build_kpis_desp_poscosecha_ml2.py,1,0.76,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass02__eval__build_kpis_desp_poscosecha_ml2.py.log
2,eval\build_kpis_dh_poscosecha_ml2.py,1,0.72,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass02__eval__build_kpis_dh_poscosecha_ml2.py.log
2,eval\build_kpis_harvest_horizon_ml2.py,1,0.73,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass02__eval__build_kpis_harvest_horizon_ml2.py.log
2,eval\build_kpis_harvest_start_ml2.py,1,0.75,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass02__eval__build_kpis_harvest_start_ml2.py.log
2,eval\build_kpis_hidr_poscosecha_ml2.py,1,0.68,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass02__eval__build_kpis_hidr_poscosecha_ml2.py.log
2,eval\build_kpis_poscosecha_ml2_baseline.py,1,0.65,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass02__eval__build_kpis_poscosecha_ml2_baseline.py.log
2,eval\build_kpis_share_grado_ml2.py,0,2.90,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass02__eval__build_kpis_share_grado_ml2.py.log
2,audit\audit_ajuste_poscosecha_ml2.py,1,0.84,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass02__audit__audit_ajuste_poscosecha_ml2.py.log
2,audit\audit_desp_poscosecha_ml2.py,1,0.82,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass02__audit__audit_desp_poscosecha_ml2.py.log
2,audit\audit_dh_poscosecha_ml2.py,1,0.79,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass02__audit__audit_dh_poscosecha_ml2.py.log
2,audit\audit_harvest_horizon_ml2.py,1,0.77,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass02__audit__audit_harvest_horizon_ml2.py.log
