layer,step,ok,skipped,seconds,returncode,stdout,stderr
gold,pred_cajas_postcosecha_seed_mix_grado_dia,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\gold__pred_cajas_postcosecha_seed_mix_grado_dia.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\gold__pred_cajas_postcosecha_seed_mix_grado_dia.err.log
gold,apply_dh_poscosecha_ml1,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\gold__apply_dh_poscosecha_ml1.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\gold__apply_dh_poscosecha_ml1.err.log
gold,apply_hidr_poscosecha_ml1,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\gold__apply_hidr_poscosecha_ml1.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\gold__apply_hidr_poscosecha_ml1.err.log
gold,apply_desp_ajuste_poscosecha_ml1,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\gold__apply_desp_ajuste_poscosecha_ml1.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\gold__apply_desp_ajuste_poscosecha_ml1.err.log
gold,pred_poscosecha_ml1_views,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\gold__pred_poscosecha_ml1_views.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\gold__pred_poscosecha_ml1_views.err.log
gold,view_planificacion_campo_tallos,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\gold__view_planificacion_campo_tallos.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\gold__view_planificacion_campo_tallos.err.log
gold,postprocess_curva_share_smooth_ml1,1,0,1.313,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\gold__postprocess_curva_share_smooth_ml1.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\gold__postprocess_curva_share_smooth_ml1.err.log
ml2,build_ds_harvest_start_ml2_v2,1,0,35.747,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__build_ds_harvest_start_ml2_v2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__build_ds_harvest_start_ml2_v2.err.log
ml2,train_harvest_start_ml2,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__train_harvest_start_ml2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__train_harvest_start_ml2.err.log
ml2,apply_harvest_start_ml2,1,0,6.076,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__apply_harvest_start_ml2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__apply_harvest_start_ml2.err.log
